Gunung_ID,Nama_Gunung,Ketinggian_MDPL,Lokasi_Kabupaten_Utama,Tingkat_Kesulitan_Pendakian,Cocok_Untuk_Pemula,Durasi_Pendakian_Hari_RataRata,Budget_Per_Orang_Rupiah_RataRata,Rating_Rata_Rata,Deskripsi_Lengkap_Gunung
1,Semeru,3676,Malang,Sulit,Tidak,3,100000,4.8,"Fitur utama objek wisata: Puncak Mahameru, Danau Ranu Kumbolo, Padang Lavender Oro-oro Ombo. Karakteristik jalur: Treknya panjang dan menantang. Fasilitas basecamp: Basecamp, Toilet, Warung, Porter. Akses transportasi: Angkutan umum ke Tumpang, lalu Jeep ke Ranupani. Pemandangan utama: Puncak Mahameru, Danau Ranu Kumbolo, Padang Lavender Oro-oro Ombo. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3676 mdpl. Durasi pendakian rata-rata: 3 hari. Budget per orang rata-rata: 100000 rupiah. Rating rata-rata: 4.8."
2,Lawu,3265,Magetan,Sulit,Tidak,2,15000,4.5,"Fitur utama objek wisata: Puncak Ogal-agil, Situs Purbakala, Hutan Cemara. Karakteristik jalur: Memiliki jalur pendakian yang curam dan panjang, dikenal dengan peninggalan purbakala di sepanjang trek dan pemandangan sunrise di puncak. Fasilitas basecamp: Basecamp, Sumber Air Terbatas. Akses transportasi: Terminal Tawangmangu/Magetan, lanjut ojek/angkot ke basecamp. Pemandangan utama: Puncak Ogal-agil, Situs Purbakala, Hutan Cemara. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3265 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 15000 rupiah. Rating rata-rata: 4.5."
3,Bromo,2329,Malang,Mudah,Ya,1,100000,4.9,"Fitur utama objek wisata: Kawah Belerang Aktif, Puncak Kembar. Karakteristik jalur: Bersebelahan dengan Arjuno. Dikenal dengan kawah belerangnya yang aktif dan pemandangan para penambang belerang tradisional. Fasilitas basecamp: Basecamp, Warung di Pos, Toilet. Akses transportasi: Jeep dari Cemoro Lawang/Sukapura/Tumpang. Pemandangan utama: Kawah Belerang Aktif, Puncak Kembar. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 2329 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 100000 rupiah. Rating rata-rata: 4.9."
4,Panderman,2045,Batu,Sedang,Ya,1,15000,3.8,"Fitur utama objek wisata: Kaldera Raksasa, Puncak Sejati Ekstrim. Karakteristik jalur: Memiliki kaldera terbesar di Pulau Jawa dan trek menuju puncak sejati yang memerlukan peralatan panjat tebing. Sangat ekstrim. Fasilitas basecamp: Basecamp, Wajib Pemandu, Porter. Akses transportasi: Mudah diakses dari Kota Batu, bisa menggunakan kendaraan pribadi atau angkutan lokal. Pemandangan utama: Kaldera Raksasa, Puncak Sejati Ekstrim. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Tidak. Ketinggian: 2045 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 15000 rupiah. Rating rata-rata: 3.8."
5,Kawi,2551,Malang,Sulit,Tidak,2,10000,4,"Fitur utama objek wisata: Trek Terpanjang, Danau Taman Hidup, Padang Savana Cikasur. Karakteristik jalur: Memiliki trek terpanjang di Pulau Jawa. Melewati padang savana, danau, dan reruntuhan pura kuno. Memerlukan fisik dan logistik super. Fasilitas basecamp: Basecamp, Wajib Lapor, Sumber Air. Akses transportasi: Dari Malang atau Blitar, bisa menggunakan kendaraan pribadi atau angkutan umum menuju desa terakhir. Pemandangan utama: Trek Terpanjang, Danau Taman Hidup, Padang Savana Cikasur. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 2551 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 10000 rupiah. Rating rata-rata: 4.0."
6,Ijen,2386,Banyuwangi,Mudah,Tidak,1,30000,4.7,"Fitur utama objek wisata: Api Biru (Blue Fire), Danau Kawah Asam, Penambang Belerang. Karakteristik jalur: Gunung yang sarat dengan nuansa mistis dan sejarah. Terdapat warung legendaris di dekat puncak. Trek cukup jelas. Fasilitas basecamp: Basecamp, Warung, Toilet. Akses transportasi: Dari Banyuwangi, bisa menggunakan mobil pribadi/sewaan atau agen tur yang menyediakan transportasi ke Paltuding. Pemandangan utama: Api Biru (Blue Fire), Danau Kawah Asam, Penambang Belerang. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 2386 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 30000 rupiah. Rating rata-rata: 4.7."
7,Kelud,1731,Blitar,Mudah,Tidak,1,15000,4.2,"Fitur utama objek wisata: Puncak Pawitra, Situs Candi, Pemandangan Kota. Karakteristik jalur: Dikenal sebagai 'miniatur Semeru' atau gunung 'Pakuwuan'. Treknya relatif singkat namun terus menanjak, banyak situs purbakala. Fasilitas basecamp: Basecamp, Warung, Area Parkir Luas. Akses transportasi: Mudah dijangkau dengan kendaraan pribadi atau umum hingga area parkir. Pemandangan utama: Puncak Pawitra, Situs Candi, Pemandangan Kota. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 1731 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 15000 rupiah. Rating rata-rata: 4.2."
8,Argopuro,3088,Bondowoso,Sulit,Tidak,4,37500,4.3,"Fitur utama objek wisata: Api Biru (Blue Fire), Danau Kawah Asam, Penambang Belerang. Karakteristik jalur: Trek landai dan lebar. Fasilitas basecamp: Basecamp, Toilet, Warung, Ojek. Akses transportasi: Dari Bondowoso, lanjut angkutan umum atau ojek ke pos registrasi. Pemandangan utama: Api Biru (Blue Fire), Danau Kawah Asam, Penambang Belerang. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3088 mdpl. Durasi pendakian rata-rata: 4 hari. Budget per orang rata-rata: 37500 rupiah. Rating rata-rata: 4.3."
9,Arjuno,3339,Malang,Sulit,Tidak,3,10000,4.4,"Fitur utama objek wisata: Lautan Pasir, Kawah Aktif, Sunrise Pananjakan. Karakteristik jalur: Ikon pariwisata Jawa Timur. Mudah diakses, bisa dengan Jeep. Pemandangan lautan pasir dan sunrise dari Pananjakan sangat memukau. Fasilitas basecamp: Jeep, Warung, Toilet, Penginapan. Akses transportasi: Mudah diakses, bisa dengan Jeep dari basecamp yang terorganisir. Pemandangan utama: Lautan Pasir, Kawah Aktif, Sunrise Pananjakan. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada (di beberapa pos). Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3339 mdpl. Durasi pendakian rata-rata: 3 hari. Budget per orang rata-rata: 10000 rupiah. Rating rata-rata: 4.4."
10,Baluran,1247,Situbondo,Mudah,Ya,1,20000,3.5,"Fitur utama objek wisata: Pemandangan Kota (Citylight), Hutan Pinus. Karakteristik jalur: Gunung yang ramah bagi pemula, terletak di kota Batu. Dari puncaknya terlihat pemandangan gemerlap lampu kota Batu dan Malang di malam hari. Fasilitas basecamp: Basecamp, Warung, Toilet. Akses transportasi: Mudah diakses dari Situbondo, dekat jalan raya utama menuju Taman Nasional Baluran. Pemandangan utama: Pemandangan Kota (Citylight), Hutan Pinus. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 1247 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 20000 rupiah. Rating rata-rata: 3.5."
11,Batok,2440,Malang,Sedang,Tidak,1,100000,3.9,"Fitur utama objek wisata: Padang Savana Luas, Hutan Lumut. Karakteristik jalur: Memiliki padang savana yang luas di puncaknya mirip dengan Oro-oro Ombo di Semeru. Treknya cukup menantang dengan tanjakan yang stabil. Fasilitas basecamp: Basecamp, Sumber Air. Akses transportasi: Umumnya diakses bersamaan dengan Bromo, dari Cemoro Lawang/Sukapura. Pemandangan utama: Padang Savana Luas, Hutan Lumut. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Tidak. Ketinggian: 2440 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 100000 rupiah. Rating rata-rata: 3.9."
12,Anjasmoro,2282,Mojokerto,Sedang,Tidak,1,20000,3.7,"Fitur utama objek wisata: Anak Gunung Kelud, Jalan Misteri, Pemandian Air Panas. Karakteristik jalur: Wisata gunung berapi yang sudah sangat tertata pasca letusan. Pengunjung bisa mencapai area dekat 'anak Kelud' dengan mudah. Fasilitas basecamp: Area Parkir, Warung, Toilet. Akses transportasi: Dari Mojokerto/Jombang, bisa menggunakan kendaraan pribadi atau umum hingga basecamp/pos terdekat. Pemandangan utama: Anak Gunung Kelud, Jalan Misteri, Pemandian Air Panas. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Ya. Ketinggian: 2282 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 20000 rupiah. Rating rata-rata: 3.7."
13,Boklorobrubuh,2230,Mojokerto,Sedang,Tidak,1,15000,3.2,"Fitur utama objek wisata: Puncak-puncak di pegunungan Anjasmoro, Hutan lebat. Karakteristik jalur: Jalur alami, hutan lebat, medan yang bervariasi. Fasilitas basecamp: Basecamp sederhana, atau rumah warga sebagai pos perizinan. Akses transportasi: Membutuhkan kendaraan pribadi atau ojek lokal menuju titik awal pendakian di desa terdekat. Pemandangan utama: Hutan pegunungan yang asri, Pemandangan gugusan pegunungan Anjasmoro. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Tidak. Ketinggian: 2230 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 15000 rupiah. Rating rata-rata: 3.2."
14,Butak,2868,Blitar,Mudah,Ya,1,10000,3.6,"Fitur utama objek wisata: Wisata Religi, Hutan Rapat. Karakteristik jalur: Lebih dikenal sebagai tempat wisata religi dan pesugihan. Namun, memiliki jalur pendakian ke puncak sejati yang jarang didaki. Fasilitas basecamp: Area Parkir, Warung. Akses transportasi: Dari Blitar/Malang, bisa menggunakan kendaraan pribadi atau umum menuju desa terdekat. Pemandangan utama: Wisata Religi, Hutan Rapat. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Tidak. Ketinggian: 2868 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 10000 rupiah. Rating rata-rata: 3.6."
15,Liman,2563,Ponorogo,Sedang,Ya,1,15000,3.4,"Fitur utama objek wisata: Air Terjun, Hutan Alami. Karakteristik jalur: Gunung dengan puncak yang cukup tinggi namun jarang dijamah. Medannya cukup sulit dengan hutan yang masih lebat dan alami. Fasilitas basecamp: Basecamp Sederhana. Akses transportasi: Dari Ponorogo/Nganjuk, bisa menggunakan kendaraan pribadi atau ojek lokal menuju desa terdekat. Pemandangan utama: Air Terjun, Hutan Alami. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Tidak. Ketinggian: 2563 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 15000 rupiah. Rating rata-rata: 3.4."
16,Pandan,903,Madiun,Mudah,Ya,1,20000,3,"Fitur utama objek wisata: Hutan Alami, Puncak Trio Liman-Wilis. Karakteristik jalur: Termasuk dalam gugusan pegunungan Wilis. Jalurnya masih sangat alami, panjang, dan menantang. Jarang didaki. Fasilitas basecamp: Basecamp Sederhana. Akses transportasi: Dari Madiun/Nganjuk, bisa menggunakan kendaraan pribadi atau umum menuju desa terdekat. Pemandangan utama: Hutan Alami, Puncak Trio Liman-Wilis. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Tidak. Ketinggian: 903 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 20000 rupiah. Rating rata-rata: 3.0."
17,Penanggungan,1653,Mojokerto,Sedang,Ya,1,20000,4.1,"Fitur utama objek wisata: Puncak Pawitra yang berbatu, Situs Candi di sepanjang lereng, Pemandangan Gunung Arjuno-Welirang. Karakteristik jalur: Dikenal sebagai 'miniatur Semeru' karena bentuknya. Treknya relatif singkat namun curam, dan sangat terkenal karena banyaknya situs peninggalan purbakala (candi) di sepanjang jalur pendakian. Fasilitas basecamp: Basecamp (beberapa pilihan jalur), Warung (di area basecamp), Toilet & Area Parkir, Sumber Air (terbatas di jalur). Akses transportasi: Mudah dijangkau dari Mojokerto/Pasuruan, bisa menggunakan kendaraan pribadi atau umum hingga basecamp. Pemandangan utama: Puncak Pawitra yang berbatu, Situs Candi di sepanjang lereng, Pemandangan Gunung Arjuno-Welirang. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Ya. Ketinggian: 1653 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 20000 rupiah. Rating rata-rata: 4.1."
18,Berungkal,1040,Lumajang,Mudah,Ya,1,20000,2.9,"Fitur utama objek wisata: Hutan lebat dan perawan, Jalur yang masih sangat alami, Pemandangan puncak-puncak Pegunungan Wilis. Karakteristik jalur: Salah satu puncak di gugusan Pegunungan Wilis yang jarang terjamah. Jalurnya dikenal masih sangat alami, lebat, dan lebih cocok untuk pendaki berpengalaman yang mencari petualangan. Fasilitas basecamp: Fasilitas Sangat Terbatas, Izin & Registrasi (di desa terdekat). Akses transportasi: Dari Lumajang, bisa menggunakan kendaraan pribadi atau ojek lokal menuju desa terdekat. Pemandangan utama: Hutan lebat dan perawan, Jalur yang masih sangat alami, Pemandangan puncak-puncak Pegunungan Wilis. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Tidak. Ketinggian: 1040 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 20000 rupiah. Rating rata-rata: 2.9."
19,Penanjakan,2329,Pasuruan,Mudah,Ya,1,30000,4.6,"Fitur utama objek wisata: Matahari terbit keemasan (Golden Sunrise), Lautan awan di Kaldera Tengger, Panorama trio gunung Bromo-Batok-Semeru. Karakteristik jalur: Bukan gunung pendakian, melainkan bukit dan titik pandang (viewpoint) terbaik di kawasan Bromo. Merupakan tujuan utama wisatawan untuk menyaksikan pemandangan matahari terbit dengan latar Gunung Bromo, Batok, dan Semeru. Fasilitas basecamp: Area Parkir Jeep & Mobil, Warung (sangat banyak), Toilet Umum, Penyewaan Jaket & Kuda. Akses transportasi: Sangat mudah diakses dengan jeep dari desa-desa sekitar Bromo. Pemandangan utama: Matahari terbit keemasan (Golden Sunrise), Lautan awan di Kaldera Tengger, Panorama trio gunung Bromo-Batok-Semeru. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 2329 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 30000 rupiah. Rating rata-rata: 4.6."
20,Ranti,2601,Banyuwangi,Sedang,Ya,1,20000,3.3,"Fitur utama objek wisata: Kaldera kawah yang eksotis, Pemandangan sisi lain dinding Kawah Ijen, Hutan hujan pegunungan yang rapat. Karakteristik jalur: Berada di dekat Kawah Ijen, sering disebut sebagai ""saudara"" Ijen. Menawarkan pemandangan kaldera yang tak kalah indah dengan suasana yang lebih tenang dan jalur yang melewati hutan rapat. Fasilitas basecamp: Basecamp (area Paltuding/Wonorejo), Warung (di sekitar basecamp), Toilet, Ojek (menuju titik awal pendakian). Akses transportasi: Dari Banyuwangi, bisa menggunakan mobil pribadi/sewaan atau ojek menuju Paltuding. Pemandangan utama: Kaldera kawah yang eksotis, Pemandangan sisi lain dinding Kawah Ijen, Hutan hujan pegunungan yang rapat. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Ya. Ketinggian: 2601 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 20000 rupiah. Rating rata-rata: 3.3."
21,Suket,2950,Bondowoso,Sulit,Tidak,1,30000,3.1,"Fitur utama objek wisata: Padang sabana yang sangat luas di dekat puncak, Pemandangan gagahnya Gunung Raung, Puncak berbentuk segitiga yang khas. Karakteristik jalur: Terletak di kompleks Ijen-Raung, daya tarik utamanya adalah padang sabana luas di puncaknya. Treknya menantang dan menjadi pilihan bagi mereka yang mencari keindahan tersembunyi. Fasilitas basecamp: Basecamp (biasanya rumah warga), Warung Sederhana (di basecamp), Sumber Air (terbatas di jalur). Akses transportasi: Dari Bondowoso atau Banyuwangi, menuju basecamp via Sempol, lalu ojek lokal ke pos awal. Pemandangan utama: Padang sabana yang sangat luas di dekat puncak, Pemandangan gagahnya Gunung Raung, Puncak berbentuk segitiga yang khas. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 2950 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 30000 rupiah. Rating rata-rata: 3.1."
22,Argowayang,2162,Malang,Sedang,Tidak,1,35000,3,"Fitur utama objek wisata: Hutan lumut yang magis, Pemandangan puncak-puncak Pegunungan Anjasmoro, Lembah-lembah hutan yang masih alami. Karakteristik jalur: Salah satu puncak utama di Pegunungan Anjasmoro. Dikenal memiliki jalur yang panjang dan menantang, melintasi hutan lebat yang masih sangat asri dan jarang didaki. Fasilitas basecamp: Basecamp (pos perizinan/rumah warga), Sumber Air (di beberapa titik di jalur), Fasilitas Jalur Sangat Terbatas. Akses transportasi: Dari Malang atau Jombang, bisa menggunakan kendaraan pribadi atau ojek lokal menuju pos perizinan. Pemandangan utama: Hutan lumut yang magis, Pemandangan puncak-puncak Pegunungan Anjasmoro, Lembah-lembah hutan yang masih alami. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Tidak. Ketinggian: 2162 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 35000 rupiah. Rating rata-rata: 3.0."
23,Welirang,3156,Mojokerto,Sulit,Tidak,2,33000,4,"Fitur utama objek wisata: Kawah belerang aktif yang terus berasap, Aktivitas penambang belerang tradisional, Pemandangan puncak kembarannya, Gunung Arjuno. Karakteristik jalur: Gunung kembaran Arjuno yang terkenal dengan kawah belerangnya yang aktif. Pemandangan ikoniknya adalah para penambang belerang tradisional yang setiap hari naik-turun puncak. Fasilitas basecamp: Basecamp (pos perizinan), Warung (di basecamp & beberapa pos), Sumber Air, Jasa Porter, Toilet. Akses transportasi: Dari Mojokerto/Pasuruan, via Tretes, bisa menggunakan kendaraan pribadi atau angkutan umum hingga pos perizinan. Pemandangan utama: Kawah belerang aktif yang terus berasap, Aktivitas penambang belerang tradisional, Pemandangan puncak kembarannya, Gunung Arjuno. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3156 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 33000 rupiah. Rating rata-rata: 4.0."
24,Wilis,2563,Ponorogo,Sedang,Ya,1,15000,3.9,"Fitur utama objek wisata: Hamparan hutan hujan yang tak terbatas, Gugusan banyak puncak dalam satu pegunungan, Air terjun di beberapa jalur pendakian. Karakteristik jalur: Sebuah pegunungan luas dengan banyak puncak, bukan gunung tunggal. Dikenal memiliki hutan yang masih lebat, medan yang sulit, dan diselimuti aura mistis yang kuat. Fasilitas basecamp: Basecamp (tergantung jalur masuk), Sumber Air (di beberapa titik), Fasilitas Jalur Sangat Terbatas. Akses transportasi: Dari Ponorogo/Kediri/Nganjuk, bisa menggunakan kendaraan pribadi atau angkutan lokal menuju titik awal pendakian. Pemandangan utama: Hamparan hutan hujan yang tak terbatas, Gugusan banyak puncak dalam satu pegunungan, Air terjun di beberapa jalur pendakian. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Tidak. Ketinggian: 2563 mdpl. Durasi pendakian rata-rata: 1-2 hari. Budget per orang rata-rata: 15000 rupiah. Rating rata-rata: 3.9."
25,Betiri,1233,Jember,Mudah,Ya,1,30000,2.7,"Fitur utama objek wisata: Kanopi hutan hujan dataran rendah, Pemandangan garis pantai Laut Selatan, Keanekaragaman flora dan fauna langka. Karakteristik jalur: Puncak tertinggi di dalam Taman Nasional Meru Betiri. Pendakiannya sendiri tidak populer; daya tarik utamanya adalah ekosistem taman nasional yang kaya, termasuk hutan hujan tropis dan pantai penyu. Fasilitas basecamp: Pos Jaga & Pusat Informasi Taman Nasional, Penginapan (di area tertentu seperti Sukamade), Toilet (di pos jaga). Akses transportasi: Dari Jember/Banyuwangi, bisa menggunakan kendaraan pribadi atau sewaan menuju area Taman Nasional Meru Betiri. Pemandangan utama: Kanopi hutan hujan dataran rendah, Pemandangan garis pantai Laut Selatan, Keanekaragaman flora dan fauna langka. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 1233 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 30000 rupiah. Rating rata-rata: 2.7."
26,Raung,3244,Bondowoso,Sulit,Tidak,3,20000,4.6,"Fitur utama objek wisata: Kaldera raksasa yang sangat dalam dan spektakuler, Puncak Sejati di bibir kawah, Medan bebatuan tajam dan ekstrim. Karakteristik jalur: Memiliki kaldera terbesar di Pulau Jawa. Dikenal sebagai salah satu gunung paling ekstrim karena untuk mencapai puncak sejatinya, pendaki wajib menggunakan peralatan panjat tebing. Fasilitas basecamp: Basecamp (terorganisir via Kalibaru), Pemandu & Porter (wajib untuk Puncak Sejati), Sumber Air, Warung (di basecamp). Akses transportasi: Dari Banyuwangi/Jember/Bondowoso, menuju basecamp Kalibaru, seringkali perlu dijemput agen perjalanan. Pemandangan utama: Kaldera raksasa yang sangat dalam dan spektakuler, Puncak Sejati di bibir kawah, Medan bebatuan tajam dan ekstrim. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3244 mdpl. Durasi pendakian rata-rata: 3 hari. Budget per orang rata-rata: 20000 rupiah. Rating rata-rata: 4.6."
27,Pegat,343,Blitar,Mudah,Ya,1,20000,3.2,"Fitur utama objek wisata: panorama hutan hujan, pemandangan alam pedesaan. Karakteristik jalur: sangat landai dan pendek. Fasilitas basecamp: terbatas, hanya tempat parkir dan warung. Akses transportasi: sangat mudah dijangkau. Pemandangan utama: vegetasi lebat dan aliran sungai. Musim terbaik kunjungan: sepanjang tahun. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: mudah. Cocok untuk pemula: ya."
28,Bokong,1746,Batu,Mudah,Ya,1,25000,4.1,"Fitur utama objek wisata: Pemandangan pedesaan dan persawahan khas lokal, Suasana yang tenang dan tidak ramai, Jalur setapak yang natural. Karakteristik jalur: Merupakan bukit atau puncak-puncak kecil yang tidak terlalu dikenal. Jalurnya tidak sepopuler gunung besar dan lebih sering didaki oleh warga atau komunitas lokal untuk latihan atau petualangan singkat. Fasilitas basecamp: Fasilitas Sangat Terbatas, Izin & Registrasi (di desa terdekat). Akses transportasi: Dekat dengan jalan utama di sekitar Batu, mudah diakses dengan kendaraan pribadi. Pemandangan utama: Pemandangan pedesaan dan persawahan khas lokal, Suasana yang tenang dan tidak ramai, Jalur setapak yang natural. Musim terbaik kunjungan: Sepanjang Tahun. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 1746 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 25000 rupiah. Rating rata-rata: 4.1."
29,Piramid,1521,Bondowoso,Sulit,Tidak,2,20000,4.6,"Fitur utama objek wisata: Jalur ""Punggung Naga"" yang super tipis, Jurang terjal di kedua sisi jalur, Pemandangan 360 derajat dari puncak. Karakteristik jalur: Terkenal dengan puncaknya yang unik dan jalur punggungan super tipis yang sangat berbahaya, dikenal sebagai ""Punggung Naga"". Pendakian ini hanya untuk para ahli yang berpengalaman. Fasilitas basecamp: Basecamp (pos registrasi informal), Warung (di area basecamp), Pemandu Lokal (sangat disarankan), Area Parkir. Akses transportasi: Dari Bondowoso, bisa diakses dengan kendaraan pribadi atau umum menuju desa terdekat. Pemandangan utama: Jalur ""Punggung Naga"" yang super tipis, Jurang terjal di kedua sisi jalur, Pemandangan 360 derajat dari puncak. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 1521 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 20000 rupiah. Rating rata-rata: 4.6."
30,Budeg,550,Tulungagung,Mudah,Ya,1,10000,3.3,"Fitur utama objek wisata: Pemandangan lanskap Kabupaten Tulungagung, Gemerlap lampu kota (citylight) di malam hari, Puncak berbatu yang curam. Karakteristik jalur: Sebuah bukit di Tulungagung yang populer untuk pendakian singkat. Jalurnya sangat pendek namun ekstrem curam, cocok untuk latihan fisik dengan bonus pemandangan kota dari puncak. Fasilitas basecamp: Area Parkir (dikelola warga), Warung Sederhana (di kaki gunung), Toilet (terkadang tersedia di area parkir). Akses transportasi: Sangat mudah diakses dengan kendaraan pribadi atau motor karena dekat dengan pemukiman dan jalan raya. Pemandangan utama: Pemandangan lanskap Kabupaten Tulungagung, Gemerlap lampu kota (citylight) di malam hari, Puncak berbatu yang curam. Musim terbaik kunjungan: Sepanjang Tahun. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 550 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 10000 rupiah. Rating rata-rata: 3.3."